Date,USD,CRUDE,GOLD
6/8/2016,66.49999993,3394.15096,2957.013889
6/9/2016,66.75300055,3393.021172,2977.360153
6/10/2016,66.95199823,3328.116206,2996.55097
6/13/2016,67.18699862,3271.693364,3036.661616
6/14/2016,67.29199774,3255.365394,3044.297574
6/15/2016,67.07900129,3233.522599,3042.324823
6/16/2016,67.31499987,3162.843079,3097.423254
6/17/2016,67.07399811,3171.20116,3047.229002
6/20/2016,67.55099932,3315.674084,3052.885129
6/21/2016,67.62400162,3350.530829,3041.408781
6/22/2016,67.44899861,3371.986743,3015.326907
6/23/2016,67.27899976,3351.214402,2999.544069
6/24/2016,67.88499874,3261.986622,3153.877693
6/27/2016,67.91399779,3202.340067,3160.056881
6/28/2016,67.71499868,3224.757616,3129.616184
6/29/2016,67.42199983,3299.586321,3135.43512
6/30/2016,67.50399978,3319.562287,3121.761173
7/1/2016,67.19000062,3264.377474,3151.164513
7/4/2016,67.26499779,3303.380649,3180.176055
7/5/2016,67.43399813,3203.858325,3177.932437
7/6/2016,67.41100096,3154.267147,3222.957773
7/7/2016,67.49500132,3172.985348,3198.198774
7/8/2016,67.13899847,3064.731005,3168.457373
7/11/2016,67.13799779,3035.085169,3170.265446
7/12/2016,66.97500171,3083.017239,3137.688026
7/13/2016,67.01599873,3071.893024,3124.921877
7/14/2016,66.8429985,3042.70089,3095.36191
7/15/2016,67.14099993,3072.061717,3099.958151
7/18/2016,67.13700165,3059.969549,3101.592668
7/19/2016,67.20399848,3051.623625,3106.159203
7/20/2016,67.16300125,3073.290677,3090.215759
7/21/2016,67.15300214,3073.907634,3086.372124
7/22/2016,67.15399876,2999.887958,3090.779278
7/25/2016,67.41200071,2956.051118,3082.148504
7/26/2016,67.32099986,2905.686197,3090.932132
7/27/2016,67.07200065,2875.029535,3092.624092
7/28/2016,67.01400023,2812.993,3126.573057
7/29/2016,66.65500204,2760.595093,3132.871339
8/1/2016,66.76399968,2744.45917,3151.432641
8/2/2016,66.68199908,2693.466011,3170.969143
8/3/2016,66.76699966,2692.12617,3181.70393
8/4/2016,66.84000061,2759.752239,3172.347283
8/5/2016,66.84200215,2790.107023,3150.290929
8/8/2016,66.81000084,2857.148506,3113.35411
8/9/2016,66.77399919,2882.96295,3117.275003
8/10/2016,66.76499816,2845.546347,3146.088625
8/11/2016,66.75000182,2836.97088,3137.520668
8/12/2016,66.90799936,2940.281313,3133.283619
8/16/2016,66.87000051,3077.238598,3142.341799
8/17/2016,66.89300137,3108.707221,3136.428361
8/18/2016,66.82999918,3181.034299,3145.930267
8/19/2016,67.13700165,3253.684469,3142.282554
8/22/2016,67.20199778,3236.915253,3130.096188
8/23/2016,67.12199994,3190.824925,3136.172615
